date,value,category,topic
2023-09-20,39.9329287537344,Economics,Finance
2023-09-21,37.71443271186027,Economics,Finance
2023-09-22,36.827034295110614,Economics,Finance
2023-09-23,21.29756200199168,Economics,Finance
2023-09-24,19.079065960117546,Economics,Finance
2023-09-25,39.04553033698475,Economics,Finance
2023-09-26,39.9329287537344,Economics,Finance
2023-09-27,39.04553033698475,Economics,Finance
2023-09-28,37.71443271186027,Economics,Finance
2023-09-29,37.27073350348544,Economics,Finance
2023-09-30,22.62865962711616,Economics,Finance
2023-10-01,18.63536675174272,Economics,Finance
2023-10-02,36.38333508673579,Economics,Finance
2023-10-03,39.04553033698475,Economics,Finance
2023-10-04,40.376627962109225,Economics,Finance
2023-10-05,39.48922954535958,Economics,Finance
2023-10-06,38.60183112860992,Economics,Finance
2023-10-07,23.072358835490988,Economics,Finance
2023-10-08,18.63536675174272,Economics,Finance
2023-10-09,40.820327170484056,Economics,Finance
2023-10-10,38.15813192023509,Economics,Finance
